name,price,type,efficiency,wattage,modular,color
Apevia Prestige,74.98,ATX,gold,1000,false,Black
Corsair CX750M V2 (2017 Edition),209,ATX,bronze,750,Semi,Black / White
EVGA 750 BQ,,ATX,bronze,750,Semi,
FSP Group Hydro GE,79.98,ATX,gold,550,Full,
EVGA SuperNOVA 1000 P3,224,ATX,platinum,1000,Full,Black / Silver
Super Flower Leadex Titanium,319.99,ATX,titanium,1000,Full,Black
Corsair CX650F,207.99,ATX,bronze,650,Full,Black
Zalman ZM-600-GT,,ATX,bronze,600,Semi,
Cooler Master MWE Bronze,87.97,ATX,bronze,500,false,Black
Corsair CX750F,229.99,ATX,bronze,750,Full,Black
Cooler Master XG850 Plus,146.19,ATX,platinum,850,Full,Black
PowerSpec PS 650BF,66.98,ATX,bronze,650,false,Black
Cooler Master V750 Gold i,194.99,ATX,gold,750,Full,Black / Gold
EVGA 850 B5,99.99,ATX,bronze,850,Full,Black
Thermaltake Toughpower GF1 PE,,ATX,gold,650,Full,
Silverstone DA650 Gold,,ATX,gold,650,Full,Black / White
Silverstone FX350-G,99.99,Flex ATX,gold,350,false,Black
EVGA SuperNOVA 1600 G+,269.99,ATX,gold,1600,Full,Black
Deepcool PF700 230V,,ATX,plus,700,false,Black
Thermaltake Toughpower GF3 TT Premium,159.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 750 G7,119.99,ATX,gold,750,Full,Black / Blue
be quiet! System Power 9,114.19,ATX,bronze,600,false,Black
Super Flower Leadex V Pro,299.99,ATX,platinum,1000,Full,White
Corsair TX650M Gold,,ATX,gold,650,Semi,
Corsair CX500,,ATX,bronze,500,false,
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,
Cooler Master V750 SFX GOLD,,SFX,gold,750,Full,White
Corsair Vengeance 750M,94.99,ATX,silver,750,Semi,
ADATA XPG PYLON,,ATX,bronze,750,false,Black
SeaSonic FOCUS SGX (2021),169.99,SFX,gold,750,Full,Black
EVGA SuperNOVA 850 G7,179.99,ATX,gold,850,Full,Black / Blue
Cougar VTE,56.99,ATX,bronze,600,false,Black
Corsair VS650 (2018),,ATX,plus,650,false,
SeaSonic VERTEX PX-1000,275.95,ATX,platinum,1000,Full,Black / Silver
SeaSonic PRIME Ultra Titanium,249.99,ATX,titanium,850,Full,
SeaSonic FOCUS Plus Platinum,149.99,ATX,platinum,650,Full,
Silverstone Extreme 850R Platinum,199.99,SFX,platinum,850,Full,Black
Cooler Master MasterWatt,,ATX,bronze,650,Semi,
EVGA SuperNOVA 1000 G6,195.35,ATX,gold,1000,Full,Black
EVGA GE,79.98,ATX,gold,600,false,Black
Thermaltake Toughpower GF3 TT Premium,199.68,ATX,gold,1350,Full,Black
be quiet! System Power 9 CM,154.84,ATX,bronze,400,Semi,Black
EVGA SuperNOVA 1000G XC,164.99,ATX,gold,1000,Full,Black
Raidmax RX-730SS,54.99,ATX,,730,Semi,
