name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG Crosshair VIII Dark Hero,413.99,AM4,ATX,128,4,Black / Silver
Asus PRIME B660M-A WIFI D4,250,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte Z790 GAMING X AX,219.99,LGA1700,ATX,192,4,Black
Gigabyte H610M S2H,89.99,LGA1700,Micro ATX,64,2,Brown / Silver
MSI PRO B760M-A WIFI,169.99,LGA1700,Micro ATX,192,4,Black
Asus TUF GAMING B650M-PLUS WIFI,215.99,AM5,Micro ATX,192,4,Black
ASRock B650M PG RIPTIDE WIFI,189.99,AM5,Micro ATX,192,4,Black
Asus ROG STRIX X670E-I GAMING WIFI,424.99,AM5,Mini ITX,96,2,Black / Silver
ASRock H310CM-DVS,66.18,LGA1151,Micro ATX,32,2,Black
ASRock Fatal1ty B450 Gaming-ITX/ac,146.97,AM4,Mini ITX,64,2,Black / Silver
Gigabyte B760 AORUS ELITE AX,174.99,LGA1700,ATX,192,4,Black
ASRock X670E PG Lightning,239.99,AM5,ATX,192,4,Black
Gigabyte B450M DS3H,184.38,AM4,Micro ATX,128,4,Black / Silver
ASRock B550M Steel Legend,151.99,AM4,Micro ATX,128,4,Silver / Black
MSI MAG Z790 TOMAHAWK MAX WIFI,279.99,LGA1700,ATX,192,4,Black / Yellow
ASRock B650 LiveMixer,149.99,AM5,ATX,192,4,Orange / Black
Gigabyte B650 Gaming X,413.99,AM5,ATX,192,4,Black
Gigabyte X670 GAMING X AX V2,229.99,AM5,ATX,192,4,Black / Gray
MSI MPG B650 CARBON WIFI,299.99,AM5,ATX,192,4,Black
Asus TUF GAMING A620M-PLUS WIFI,149.99,AM5,Micro ATX,192,4,Black / Orange
ASRock A520M-ITX/ac,104.99,AM4,Mini ITX,64,2,Black / Silver
Asus ROG STRIX Z790-I GAMING WIFI,439.99,LGA1700,Mini ITX,96,2,Black
Gigabyte X670E AORUS MASTER (rev. 1.0),449.99,AM5,EATX,192,4,Black / Silver
Asus PRIME-H610M-A-WIFI-D4,141.43,LGA1700,Micro ATX,64,2,Black / Silver
ASRock B650 PG LIGHTNING,199.99,AM5,ATX,192,4,Black
ASRock B760M-HDV/M.2 D4,91.98,LGA1700,Micro ATX,64,2,Silver / Black
ASRock Z690 Extreme,129.99,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z790 EDGE TI MAX WIFI,383.66,LGA1700,ATX,192,4,Silver / Black
MSI Z490-A PRO,298,LGA1200,ATX,128,4,Black / Silver
MSI MPG X670E CARBON WIFI,442.17,AM5,ATX,192,4,Black
MSI Z390-A PRO,229.99,LGA1151,ATX,128,4,Brown / Black
MSI PRO B550M-P GEN3,113.95,AM4,Micro ATX,128,4,Black
ASRock B450M Pro4,106.04,AM4,Micro ATX,128,4,Black / Silver
ASRock Z690 PG Velocita,149.99,LGA1700,ATX,192,4,Silver / Black
Asus ROG STRIX Z790-F GAMING WIFI II,429.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX Z790-F GAMING WIFI,309.99,LGA1700,ATX,192,4,Black
Asus PRIME B550M-K,122.64,AM4,Micro ATX,128,4,Black / White
Gigabyte A620M GAMING X,109.99,AM5,Micro ATX,192,4,Brown / Gray
Asus PRIME Z390-P,197.96,LGA1151,ATX,128,4,Silver / Black
ASRock B760M PG Lightning,115.98,LGA1700,Micro ATX,192,4,Black
Gigabyte A520M K,,AM4,Micro ATX,64,2,Brown / Black
Gigabyte B760M AORUS ELITE AX,169.99,LGA1700,Micro ATX,192,4,Black / Silver
Asus TUF GAMING B760M-PLUS WIFI,189.99,LGA1700,Micro ATX,192,4,Black / Orange
Asus PRIME Z790-P WIFI D4,209.99,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z790 CARBON WIFI,419.99,LGA1700,ATX,192,4,Black
ASRock B760M Pro RS,124.99,LGA1700,Micro ATX,192,4,Silver / Black
MSI MPG B760I EDGE WIFI,219.95,LGA1700,Mini ITX,96,2,Black / Silver
Intel DQ45EK,225,LGA775,Mini ITX,4,2,Green / Blue
Gigabyte B760I AORUS PRO,245.76,LGA1700,Mini ITX,96,2,Silver / Black
Asus ROG STRIX TRX40-XE GAMING,,sTRX4,ATX,256,8,Black
Asus TUF GAMING B450-PLUS II,,AM4,ATX,128,4,Black
ASRock B760M PG Riptide,129.99,LGA1700,Micro ATX,192,4,Black / Blue
ASRock A520M-HVS,73.11,AM4,Micro ATX,64,2,Black / Silver
Asus PRIME B450M-K II,106.73,AM4,Micro ATX,64,2,Black
ASRock Z690 Pro RS,124.99,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX Z690-A GAMING WIFI D4,395.02,LGA1700,ATX,128,4,Silver / Black
Asus PRIME X670-P WIFI,209.99,AM5,ATX,192,4,Silver / Black
Asus PRIME B660-PLUS D4,164.69,LGA1700,ATX,128,4,Silver / Black
Gigabyte B650 AORUS ELITE AX V2,219.99,AM5,ATX,192,4,Black / Silver
Gigabyte Z790 AORUS ELITE X AX,249.99,LGA1700,ATX,192,4,Black
ASRock B760M Pro RS/D4 WiFi,169.64,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte B650M GAMING X AX,,AM5,Micro ATX,192,4,Black
ASRock B450 Steel Legend,115.99,AM4,ATX,64,4,Black / Silver
Gigabyte Z390 AORUS PRO WIFI,299.99,LGA1151,ATX,128,4,Black / Silver
Gigabyte B650M D3HP,119.99,AM5,Micro ATX,192,4,Black
ASRock B550 Pro4,105,AM4,ATX,128,4,Silver / Black
NZXT N7 B550,,AM4,ATX,128,4,Black
Gigabyte X670E AORUS XTREME (rev. 1.0),649.99,AM5,EATX,192,4,Black
Gigabyte H610I,119.99,LGA1700,Mini ITX,64,2,Black
ASRock B550 Phantom Gaming-ITX/ax,191.8,AM4,Mini ITX,64,2,Silver / Black
Asus PRIME Z390-A,299.99,LGA1151,ATX,128,4,Silver / Black
Asus PRIME A520M-A II/CSM,,AM4,Micro ATX,128,4,Silver / Black
Gigabyte Z790 UD AX,209.99,LGA1700,ATX,192,4,Black
ASRock Z690 PG Riptide,126.99,LGA1700,ATX,128,4,Black / Silver
Asus TUF GAMING B760-PLUS WIFI,199.99,LGA1700,ATX,192,4,Black
MSI MPG Z490 GAMING PLUS,,LGA1200,ATX,128,4,Black / Silver
Gigabyte B760M C,129.99,LGA1700,Micro ATX,192,4,Brown / Gray
Asus ROG MAXIMUS Z790 APEX ENCORE,649.99,LGA1700,ATX,96,2,Black
ASRock B550M Phantom Gaming 4,89.99,AM4,Micro ATX,128,4,Black
Asus TUF GAMING B550-PLUS,169.51,AM4,ATX,128,4,Black
MSI MEG Z790 GODLIKE,1199.99,LGA1700,EATX,192,4,Black
MSI MAG Z790 TOMAHAWK WIFI DDR4,229.99,LGA1700,ATX,128,4,Black
ASRock B760 Pro RS,149.99,LGA1700,ATX,192,4,Silver / Black
MSI B450 TOMAHAWK,,AM4,ATX,64,4,Black / Silver
Asus ROG STRIX B760-F GAMING WIFI,248.12,LGA1700,ATX,192,4,Black
ASRock B650 PRO RS,219,AM5,ATX,192,4,Black / Silver
MSI PRO Z690-A DDR4,179.99,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX Z370-E GAMING,,LGA1151,ATX,64,4,Black / Silver
Gigabyte Z790 AORUS XTREME X,949.99,LGA1700,EATX,192,4,Black
Asus PRIME B550M-A/CSM,100.99,AM4,Micro ATX,128,4,Black / White
Asus PRIME X670-P,199.99,AM5,ATX,192,4,Silver / Black
ASRock X570 Phantom Gaming 4,109.99,AM4,ATX,128,4,Black / Silver
ASRock B450M/AC,79.89,AM4,Micro ATX,64,4,Black
Gigabyte B760I AORUS PRO DDR4,179.99,LGA1700,Mini ITX,64,2,Black / Gray
MSI MEG X670E ACE,685.99,AM5,EATX,192,4,Black / Gold
Asus PRIME B450-PLUS,102.93,AM4,ATX,64,4,Black / Silver
MSI X670E GAMING PLUS WIFI,279.99,AM5,ATX,192,4,Silver / Black
ASRock X670E Taichi Carrara,522.99,AM5,EATX,192,4,Black / White
Asus TUF GAMING B760M-PLUS WIFI D4,260.82,LGA1700,Micro ATX,128,4,Black / Orange
Asus PRIME A520M-K,94.99,AM4,Micro ATX,64,2,Black / Silver
ASRock X670E Taichi,499.99,AM5,EATX,192,4,Black
MSI PRO B660M-A WIFI DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte B760 DS3H AC DDR4,139.99,LGA1700,ATX,128,4,Black
ASRock B650M-H/M.2+,,AM5,Micro ATX,96,2,Silver / Black
MSI MAG B760M MORTAR WIFI II,179.99,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME B650M-A WIFI II,226.25,AM5,Micro ATX,192,4,Black / Silver
Gigabyte Z690 AORUS ELITE AX DDR4,236,LGA1700,ATX,128,4,Black / Silver
ASRock B650M PG RIPTIDE,169.99,AM5,Micro ATX,192,4,Black
